frame.encap_type,frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49242,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49242,0,1873375859,0,0,0,0,0,1,0,1,0,0,0,0.000037000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49244,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49244,0,3603845821,0,0,0,0,0,1,0,1,0,0,0,0.000037000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49246,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49246,0,1453145425,0,0,0,0,0,1,0,1,0,0,0,0.000038000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49248,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49248,0,3795141274,0,0,0,0,0,1,0,1,0,0,0,0.000038000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49250,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49250,0,2229662499,0,0,0,0,0,1,0,1,0,0,0,0.000038000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49252,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49252,0,2408745459,0,0,0,0,0,1,0,1,0,0,0,0.000039000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49254,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49254,0,971609618,0,0,0,0,0,1,0,1,0,0,0,0.000037000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49256,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49256,0,3257985177,0,0,0,0,0,1,0,1,0,0,0,0.000039000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44798,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44798,0,2426232940,0,0,0,0,0,1,0,1,0,0,0,0.000067000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44800,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44800,0,3112017870,0,0,0,0,0,1,0,1,0,0,0,0.000055000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44802,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44802,0,1554972596,0,0,0,0,0,1,0,1,0,0,0,0.000040000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44804,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44804,0,2502370354,0,0,0,0,0,1,0,1,0,0,0,0.000034000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44806,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44806,0,1141482729,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44808,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44808,0,227049909,0,0,0,0,0,1,0,1,0,0,0,0.000057000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44810,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44810,0,3059448147,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44812,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44812,0,380857833,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44814,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44814,0,1207268230,0,0,0,0,0,1,0,1,0,0,0,0.000042000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44816,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44816,0,2654580227,0,0,0,0,0,1,0,1,0,0,0,0.000047000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44818,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44818,0,4268824424,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44820,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44820,0,1566259647,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44822,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44822,0,3617347014,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44824,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44824,0,2355948230,0,0,0,0,0,1,0,1,0,0,0,0.000033000
