frame.encap_type,frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46014,482,1423101566,0,0,0,0,0,1,1,0,0,0,65024,11.669697000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46014,0,1423101566,0,0,0,0,0,1,0,0,0,1,65024,0.000245000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46014,80,0,374896436,0,0,0,0,0,1,0,0,0,0,64128,0.000341000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46016,482,3427615563,0,0,0,0,0,1,1,0,0,0,65024,11.670660000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46016,0,3427615563,0,0,0,0,0,1,0,0,0,1,65024,0.000265000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46016,80,0,3413479921,0,0,0,0,0,1,0,0,0,0,64128,0.000295000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46018,482,3296363294,0,0,0,0,0,1,1,0,0,0,65024,11.679971000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46018,0,3296363294,0,0,0,0,0,1,0,0,0,1,65024,0.000311000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46018,80,0,2171765221,0,0,0,0,0,1,0,0,0,0,64128,0.000196000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46002,80,0,1037483275,0,0,0,0,0,1,0,0,0,0,64128,0.040155000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46004,80,0,220590537,0,0,0,0,0,1,0,0,0,0,64128,0.043069000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46020,482,907090193,0,0,0,0,0,1,1,0,0,0,65024,11.695004000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46020,0,907090193,0,0,0,0,0,1,0,0,0,1,65024,0.000248000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46020,80,0,1766146452,0,0,0,0,0,1,0,0,0,0,64128,0.000202000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46022,482,538509048,0,0,0,0,0,1,1,0,0,0,65024,11.695706000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46022,0,538509048,0,0,0,0,0,1,0,0,0,1,65024,0.000350000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46022,80,0,1098950211,0,0,0,0,0,1,0,0,0,0,64128,0.000068000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46008,80,0,3805596266,0,0,0,0,0,1,0,0,0,0,64128,0.042916000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46006,80,0,3286532336,0,0,0,0,0,1,0,0,0,0,64128,0.043915000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46024,482,2556335698,0,0,0,0,0,1,1,0,0,0,65024,11.700859000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46024,0,2556335698,0,0,0,0,0,1,0,0,0,1,65024,0.000275000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46024,80,0,689826618,0,0,0,0,0,1,0,0,0,0,64128,0.000216000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46026,482,812443255,0,0,0,0,0,1,1,0,0,0,65024,11.701777000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46026,0,812443255,0,0,0,0,0,1,0,0,0,1,65024,0.000260000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46026,80,0,285529553,0,0,0,0,0,1,0,0,0,0,64128,0.000115000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46028,482,372801009,0,0,0,0,0,1,1,0,0,0,65024,11.702737000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46028,0,372801009,0,0,0,0,0,1,0,0,0,1,65024,0.000242000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46028,80,0,3207338690,0,0,0,0,0,1,0,0,0,0,64128,0.000182000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46012,80,0,2558407508,0,0,0,0,0,1,0,0,0,0,64128,0.040685000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46010,80,0,2348477244,0,0,0,0,0,1,0,0,0,0,64128,0.041771000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46016,80,0,3413479922,0,0,0,0,0,1,0,0,0,0,64128,0.042449000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46014,80,0,374896437,0,0,0,0,0,1,0,0,0,0,64128,0.043794000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46030,482,1892836163,0,0,0,0,0,1,1,0,0,0,65024,11.715627000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46030,0,1892836163,0,0,0,0,0,1,0,0,0,1,65024,0.000340000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46030,80,0,1671837615,0,0,0,0,0,1,0,0,0,0,64128,0.000139000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46018,80,0,2171765222,0,0,0,0,0,1,0,0,0,0,64128,0.040683000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46036,482,260796243,0,0,0,0,0,1,1,0,0,0,65024,11.728688000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46036,0,260796243,0,0,0,0,0,1,0,0,0,1,65024,0.000304000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46036,80,0,2898490279,0,0,0,0,0,1,0,0,0,0,64128,0.000198000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46038,482,3753614715,0,0,0,0,0,1,1,0,0,0,65024,11.729038000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46038,0,3753614715,0,0,0,0,0,1,0,0,0,1,65024,0.000245000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46038,80,0,2265700639,0,0,0,0,0,1,0,0,0,0,64128,0.000184000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46032,482,2238923255,0,0,0,0,0,1,1,0,0,0,65024,11.730998000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46032,0,2238923255,0,0,0,0,0,1,0,0,0,1,65024,0.000258000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46032,80,0,749845732,0,0,0,0,0,1,0,0,0,0,64128,0.000279000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46034,482,1142657712,0,0,0,0,0,1,1,0,0,0,65024,11.731947000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46034,0,1142657712,0,0,0,0,0,1,0,0,0,1,65024,0.000231000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46034,80,0,1267263948,0,0,0,0,0,1,0,0,0,0,64128,0.000194000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46020,80,0,1766146453,0,0,0,0,0,1,0,0,0,0,64128,0.041540000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46022,80,0,1098950212,0,0,0,0,0,1,0,0,0,0,64128,0.044338000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46028,80,0,3207338691,0,0,0,0,0,1,0,0,0,0,64128,0.041058000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46026,80,0,285529554,0,0,0,0,0,1,0,0,0,0,64128,0.042291000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46024,80,0,689826619,0,0,0,0,0,1,0,0,0,0,64128,0.043386000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46042,482,449326772,0,0,0,0,0,1,1,0,0,0,65024,11.743451000
